ST_NO,ST_NAME,ST_NAME_EN,LINE_NO,X,Y,TRANSFER_TAG,SERIAL_NO,ST_HORIZONTAL
111,莘庄,Xinzhuang                       ,1,201,771,换乘站,28,地面
112,外环路,Waihuanlu                       ,1,224,738,普通站,27,地面
113,莲花路,Lianhua Road                    ,1,243,721,普通站,26,地面
114,锦江乐园,Jinjiang Park                   ,1,270,753,普通站,25,地面
115,上海南站,Shanghai South Railway Station  ,1,295,730,换乘站,24,地下
116,漕宝路,Caobao Road                     ,1,290,694,普通站,23,地下
117,上海体育馆,Shanghai Indoor Stadium         ,1,362,675,换乘站,22,地下
118,徐家汇,Xujiahui                        ,1,394,654,换乘站,21,地下
119,衡山路,Hengshan Road                   ,1,419,630,普通站,20,地下
120,常熟路,Changshu Road                   ,1,450,609,换乘站,19,地下
121,陕西南路,South Shanxi Road               ,1,458,559,换乘站,18,地下
122,黄陂南路,South Huangpi Road              ,1,541,569,普通站,17,地下
123,人民广场,People Square                   ,1,544,546,换乘站,16,地下
124,新闸路,Xinzha Road                     ,1,483,521,普通站,15,地下
125,汉中路,Hanzhong Road                   ,1,483,479,普通站,14,地下
126,上海火车站,Shanghai Railway Station        ,1,527,455,换乘站,13,地下
127,中山北路,North Zhongshan Road            ,1,489,420,普通站,12,地下
128,延长路,Yanchang Road                   ,1,522,397,普通站,11,地下
129,上海马戏城,Shanghai Circus World           ,1,500,372,普通站,10,地下
130,汶水路,Wenshui Road                    ,1,520,341,普通站,9,高架
131,彭浦新村,Pengpu Xincun                   ,1,509,316,普通站,8,高架
132,共康路,Gongkang Road                   ,1,519,287,普通站,7,高架
133,通河新村,Tonghe Xincun                   ,1,509,257,普通站,6,高架
134,呼兰路,Hulan Road                      ,1,517,226,普通站,5,高架
135,共富新村,Gongfu Xincun                   ,1,506,195,普通站,4,高架
136,宝安公路,BaoAn Highway                   ,1,507,166,普通站,3,高架
137,友谊西路,West Youyi Road                 ,1,507,137,普通站,2,高架
138,富锦路,Fujin Road                      ,1,518,102,普通站,1,高架
234,徐泾东,East Xujin                      ,2,135,476,普通站,1,地下
235,虹桥火车站,Hongqiao Railway Station        ,2,172,456,换乘站,2,地下
236,虹桥2号航站楼,Hongqiao Airport Terminal 2     ,2,191,440,换乘站,3,地下
237,淞虹路,Songhong Road                   ,2,214,476,普通站,4,地下
238,北新泾,Beixinjing                      ,2,248,477,普通站,5,地下
239,威宁路,Weining Road                    ,2,273,477,普通站,6,地下
240,娄山关路,Loushanguan Road                ,2,297,466,普通站,7,地下
241,中山公园,Zhongshan Park                  ,2,349,527,换乘站,8,地下
242,江苏路,Jiangsu Road                    ,2,396,507,换乘站,9,地下
243,静安寺,JingAn Temple                   ,2,405,555,换乘站,10,地下
244,南京西路,West Nanjing Road               ,2,482,537,普通站,11,地下
245,人民广场,People Square                   ,2,544,547,换乘站,12,地下
246,南京东路,East Nanjing Road               ,2,616,564,换乘站,13,地下
247,陆家嘴,Lujiazui                        ,2,662,541,普通站,14,地下
248,东昌路,Dongchang Road                  ,2,634,576,普通站,15,地下
249,世纪大道,Century Avenue                  ,2,692,569,换乘站,16,地下
250,上海科技馆,Shanghai ST Museum              ,2,725,643,普通站,17,地下
251,世纪公园,Century Park                    ,2,739,677,普通站,18,地下
252,龙阳路,Longyang Road                   ,2,764,744,换乘站,19,地下
253,张江高科,Zhangjiang High Technology Park ,2,752,780,普通站,20,地下
254,金科路,Jinke Road                      ,2,784,778,普通站,21,地下
255,广兰路,Guanglan Road                   ,2,812,779,普通站,22,地下
256,唐镇,Tangzhen                        ,2,838,780,普通站,23,地下
257,创新中路,Middle Chuangxin Road           ,2,865,780,普通站,24,地下
258,华夏东路,East Huaxia Road                ,2,886,782,普通站,25,地下
259,川沙,Chuansha                        ,2,922,769,普通站,26,地下
260,凌空路,Lingkong Road                   ,2,920,797,普通站,27,地下
261,远东大道,Yuandong Avenue                 ,2,920,818,普通站,28,高架
262,海天三路,Haitiansan Road                 ,2,917,846,普通站,29,地面
263,浦东国际机场,Pudong International Airport    ,2,918,877,普通站,30,地面
311,上海南站,Shanghai South Station          ,3,295,730,换乘站,29,地面
312,石龙路,Shilong Road                    ,3,331,737,普通站,28,地面
313,龙漕路,Longcao Road                    ,3,350,686,普通站,27,高架
314,漕溪路,Caoxi Road                      ,3,348,675,普通站,26,高架
315,宜山路,Yishan Road                     ,3,349,632,换乘站,25,高架
316,虹桥路,Hongqiao Road                   ,3,322,599,换乘站,24,高架
317,延安西路,West YanAn Road                 ,3,347,556,换乘站,23,高架
318,中山公园,Zhongshan Park                  ,3,349,527,换乘站,22,高架
319,金沙江路,Jinshajiang Road                ,3,343,455,换乘站,21,高架
320,曹杨路,Caoyang Road                    ,3,397,449,换乘站,20,高架
321,镇坪路,Zhenping Road                   ,3,418,433,换乘站,19,高架
322,中潭路,Zhongtan Road                   ,3,460,434,换乘站,18,高架
323,上海火车站,Shanghai Railway Station        ,3,527,455,换乘站,17,地面
324,宝山路,Baoshan Road                    ,3,572,451,换乘站,16,高架
325,东宝兴路,Dongbaoxing Road                ,3,606,410,普通站,15,高架
326,虹口足球场,Hongkou Football Stadium        ,3,571,372,换乘站,14,高架
327,赤峰路,Chifeng Road                    ,3,587,354,普通站,13,高架
328,大柏树,Dabaishu                        ,3,588,324,普通站,12,高架
329,江湾镇,Jiangwan Town                   ,3,588,292,普通站,11,高架
330,殷高西路,West Yingao Road                ,3,578,262,普通站,10,高架
331,长江南路,South Changjiang Road           ,3,579,231,普通站,9,高架
332,淞发路,Songfa Road                     ,3,612,211,普通站,8,高架
333,张华浜,Zhanghuabang                    ,3,634,189,普通站,7,高架
334,淞浜路,Songbin Road                    ,3,633,162,普通站,6,高架
335,水产路,Shuichan Road                   ,3,633,133,普通站,5,高架
336,宝杨路,Baoyang Road                    ,3,633,105,普通站,4,高架
337,友谊路,Youyi Road                      ,3,633,74,普通站,3,高架
338,铁力路,Tieli Road                      ,3,633,52,普通站,2,地下
339,江杨北路,North Jiangyang Road            ,3,622,34,普通站,1,地面
401,上海体育馆,Shanghai Indoor Stadium         ,4,362,675,换乘站,1,地下
402,宜山路,Yishan Road                     ,4,348,632,换乘站,2,地下
403,虹桥路,Hongqiao Road                   ,4,323,582,换乘站,3,高架
404,延安西路,West YanAn Road                 ,4,348,556,换乘站,4,高架
405,中山公园,Zhongshan Park                  ,4,349,527,换乘站,5,高架
406,金沙江路,Jinshajiang Road                ,4,343,455,换乘站,6,高架
407,曹杨路,Caoyang Road                    ,4,397,451,换乘站,7,高架
408,镇坪路,Zhenping Road                   ,4,418,433,换乘站,8,高架
409,中潭路,Zhongtan Road                   ,4,470,433,换乘站,9,高架
410,上海火车站,Shanghai Railway Station        ,4,527,455,换乘站,10,地面
411,宝山路,Baoshan Road                    ,4,571,452,换乘站,11,高架
412,海伦路,Hailun Road                     ,4,634,450,换乘站,12,地下
413,临平路,Linping Road                    ,4,682,464,普通站,13,地下
414,大连路,Dalian Road                     ,4,698,501,换乘站,14,地下
415,杨树浦路,Yangshupu Road                  ,4,700,528,普通站,15,地下
416,浦东大道,Pudong Avenue                   ,4,699,554,普通站,16,地下
417,世纪大道,Century Avenue                  ,4,692,569,换乘站,17,地下
418,浦电路,Pudian Road                     ,4,692,655,普通站,18,地下
419,蓝村路,Lancun Road                     ,4,680,677,换乘站,19,地下
420,塘桥,Tangqiao                        ,4,621,678,普通站,20,地下
421,南浦大桥,Nanpu Bridge                    ,4,584,655,普通站,21,地下
422,西藏南路,South Xizang Road               ,4,529,678,换乘站,22,地下
423,鲁班路,Luban Road                      ,4,522,676,普通站,23,地下
424,大木桥路,Damuqiao Road                   ,4,479,677,普通站,24,地下
425,东安路,DongAn Road                     ,4,453,652,换乘站,25,地下
426,上海体育场,Shanghai Stadium                ,4,414,669,普通站,26,地下
501,莘庄,Xinzhuang                       ,5,201,771,换乘站,1,高架
502,春申路,Chunshen Road                   ,5,218,861,普通站,2,高架
503,银都路,Yindu Road                      ,5,219,885,普通站,3,高架
505,颛桥,Zhuanqiao                       ,5,220,910,普通站,4,高架
507,北桥,Beiqiao                         ,5,219,932,普通站,5,高架
508,剑川路,Jianchuan Road                  ,5,218,956,普通站,6,高架
509,东川路,Dongchuan Road                  ,5,217,981,普通站,7,高架
510,金平路,Jinping Road                    ,5,179,965,普通站,8,高架
511,华宁路,Huaning Road                    ,5,157,964,普通站,9,高架
512,文井路,Wenjing Road                    ,5,126,963,普通站,10,高架
513,闵行开发区,Minhang Development Zone        ,5,96,943,普通站,11,高架
621,东方体育中心,Oriental Sports Center          ,6,358,838,换乘站,1,地下
622,灵岩南路,South Lingyan Road              ,6,484,841,普通站,2,地下
623,上南路,Shangnan Road                   ,6,531,840,普通站,3,地下
624,华夏西路,West Huaxia Road                ,6,619,837,普通站,4,地下
625,高青路,Gaoqing Road                    ,6,616,801,普通站,5,地下
626,东明路,Dongming Road                   ,6,622,771,普通站,6,地下
627,高科西路,West Gaoke Road                 ,6,608,747,换乘站,7,地下
628,临沂新村,Linyi Xincun                    ,6,573,687,普通站,8,地下
629,上海儿童医学中心,Children Medical Center         ,6,635,719,普通站,9,地下
630,蓝村路,Lancun Road                     ,6,680,677,换乘站,10,地下
631,浦电路,Pudian Road                     ,6,634,631,普通站,11,地下
632,世纪大道,Century Avenue                  ,6,692,569,换乘站,12,地下
633,源深体育中心,Yuanshen Stadium                ,6,721,598,普通站,13,地下
634,民生路,Minsheng Road                   ,6,746,542,普通站,14,地下
635,北洋泾路,Beiyangjing Road                ,6,773,531,普通站,15,地下
636,德平路,Deping Road                     ,6,803,543,普通站,16,地下
637,云山路,Yunshan Road                    ,6,830,543,普通站,17,地下
638,金桥路,Jinqiao Road                    ,6,852,543,普通站,18,地下
639,博兴路,Boxing Road                     ,6,892,582,普通站,19,地下
640,五莲路,Wulian Road                     ,6,891,543,普通站,20,高架
641,巨峰路,Jufeng Road                     ,6,889,501,换乘站,21,高架
642,东靖路,Dongjing Road                   ,6,893,453,普通站,22,高架
643,五洲大道,Wuzhou Avenue                   ,6,892,422,普通站,23,高架
644,洲海路,Zhouhai Road                    ,6,892,387,普通站,24,高架
645,外高桥保税区南,South Waigaoqiao Free Trade Zone,6,911,353,普通站,25,高架
646,航津路,Hangjin Road                    ,6,913,314,普通站,26,高架
647,外高桥保税区北,North Waigaoqiao Free Trade Zone,6,911,279,普通站,27,高架
648,港城路,Gangcheng Road                  ,6,911,252,普通站,28,高架
721,美兰湖,Meilan Lake                     ,7,388,74,普通站,1,高架
722,罗南新村,Luonan Xincun                   ,7,380,99,普通站,2,高架
723,潘广路,Panguang Road                   ,7,390,122,普通站,3,地下
724,刘行,Liuhang                         ,7,394,146,普通站,4,地下
725,顾村公园,Gucun Park                      ,7,377,171,普通站,5,地下
726,祁华路,Qihua  Road                     ,7,391,195,普通站,6,地下
727,上海大学站,Shanghai  University            ,7,464,212,普通站,7,地下
728,南陈路,Nanchen  Road                   ,7,442,250,普通站,8,地下
729,上大路,Shangda  Road                   ,7,443,270,普通站,9,地下
730,场中路,Changzhong  Road                ,7,443,295,普通站,10,地下
731,大场镇,Dachang  Town                   ,7,443,319,普通站,11,地下
732,行知路,Xingzhi  Road                   ,7,445,347,普通站,12,地下
733,大华三路,Dahuasan  Road                  ,7,433,372,普通站,13,地下
734,新村路,Xincun  Road                    ,7,444,396,普通站,14,地下
735,岚皋路,Langao  Road                    ,7,429,414,普通站,15,地下
736,镇坪路,Zhenping  Road                  ,7,418,433,普通站,16,地下
737,长寿路,Changshou  Road                 ,7,454,479,换乘站,17,地下
738,昌平路,Changping  Road                 ,7,452,509,普通站,18,地下
739,静安寺,JingAn  Temple                  ,7,392,561,换乘站,19,地下
740,常熟路,Changshu  Road                  ,7,450,609,换乘站,20,地下
741,肇嘉浜路,Zhaojiabang  Road               ,7,456,654,换乘站,21,地下
742,东安路,DongAn  Road                    ,7,522,623,换乘站,22,地下
743,龙华中路,Middle Longhua Road             ,7,443,744,普通站,23,地下
744,后滩,Houtan                          ,7,473,744,普通站,24,地下
745,长清路,Changqing  Road                 ,7,502,744,普通站,25,地下
746,耀华路,Yaohua  Road                    ,7,556,742,换乘站,26,地下
747,云台路,Yuntai  Road                    ,7,577,741,普通站,27,地下
748,高科西路,West  Gaoke  Road               ,7,608,747,换乘站,28,地下
749,杨高南路,South  Yanggao  Road            ,7,650,747,普通站,29,地下
750,锦绣路,Jinxiu  Road                    ,7,685,748,普通站,30,地下
751,芳华路,Fanghua   Road                  ,7,722,748,普通站,31,地下
752,龙阳路,Longyang   Road                 ,7,765,745,换乘站,32,地下
753,花木路,Huamu  Road                     ,7,784,718,普通站,33,地下
